frame_number,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
84,6.0,[505.76743791145833 661.7867526973482 840.6286542050843 923.0066532689898],[625.1925659179688 818.4343872070312 717.595458984375 865.4412231445312],0.5682654976844788,GX15OGJ,0.33924196613222174
85,6.0,[503.84394293838983 664.165756674351 840.7321680914915 926.450220869135],[624.3955078125 819.3148193359375 720.8267211914062 866.7728271484375],0.5803861021995544,GX15OGJ,0.29592823427962434
86,6.0,[501.9789128345418 665.3333528403863 841.4977656929315 928.6125463431173],[623.0432739257812 826.1136474609375 715.4468994140625 875.353271484375],0.5072566866874695,GX15OGJ,0.5576943553767184
87,6.0,[499.5254181835959 667.0657756328721 841.7022610335558 932.3379984201042],[619.2354736328125 831.6439819335938 714.7284545898438 877.8978881835938],0.5506560802459717,GX15OGJ,0.42657177281644715
88,6.0,[498.0633017443602 667.5897080847622 841.074477023807 934.7469143072406],[617.847412109375 829.559326171875 712.5523071289062 878.6802978515625],0.5599707961082458,GX15OGJ,0.60248845505785
89,6.0,[497.8330913626134 670.199628903119 842.1284582425724 937.7546920944837],[615.4898681640625 832.6408081054688 713.9170532226562 882.3850708007812],0.5624131560325623,GX15OGJ,0.3008061144527012
90,6.0,[497.54617123001935 674.2857986995243 843.1979514808786 942.7884479813301],[618.9322509765625 840.324462890625 718.1478881835938 887.1939697265625],0.5685729384422302,GX15OGJ,0.34145504491088174
91,6.0,[496.3985284523046 676.7804605553622 843.0409266222764 946.2893611558166],[615.23876953125 842.45361328125 711.5645141601562 886.5845947265625],0.5462716817855835,GX15OGJ,0.4505090425000684
93,6.0,[489.82616178002513 683.3072477902274 842.519818889642 953.7751516198105],[615.4515380859375 850.5576782226562 714.50439453125 898.8429565429688],0.5589064359664917,GX15OGJ,0.44899823518816984
94,6.0,[488.53187566282713 683.8185498875451 843.0159512664256 954.8211958536045],[610.7393798828125 854.115234375 714.7859497070312 900.645263671875],0.5151077508926392,GX15OGJ,0.40318019319007614
95,6.0,[485.3635875920819 685.9126522214963 841.5097794708248 959.2256025010386],[613.3386840820312 853.433349609375 704.492431640625 901.8576049804688],0.6099269986152649,GX15OGJ,0.4322720015130627
96,6.0,[484.33075258754565 689.5108814385027 841.2525273782551 964.1771081376645],[605.5873413085938 859.0887451171875 703.9993896484375 908.035400390625],0.5984787940979004,GX15OGJ,0.31199648633532967
97,6.0,[482.36591125377913 691.7210346708655 840.9953509812556 968.0490102191793],[608.7076416015625 861.122314453125 704.1278686523438 907.9449462890625],0.6083022952079773,GX15OGJ,0.36378651848130283
98,6.0,[480.6266866474871 695.604993039748 840.4085376916305 973.1070955381253],[606.3109741210938 865.0548706054688 699.6497192382812 912.1891479492188],0.5855817794799805,GX15OGJ,0.4518791903397275
99,6.0,[479.11209808015803 699.6340567332466 839.9229904516795 978.0883403600978],[604.9098510742188 868.8982543945312 704.1577758789062 920.43310546875],0.5892418622970581,GX15OGJ,0.4396599268904624
100,6.0,[477.2217305754675 703.0316423547958 837.9358006870934 981.0943327609853],[603.4061279296875 872.7214965820312 701.033935546875 923.1666870117188],0.5405597686767578,GX15OGJ,0.5029370016849191
101,6.0,[475.62493990011916 705.8188874975135 838.0319848520971 985.7802678143801],[600.8954467773438 877.008544921875 700.327880859375 927.674560546875],0.554205596446991,GX15OGJ,0.20800219383076737
102,6.0,[473.5023085663741 709.1573883081976 837.2934756592435 989.7446960454531],[600.9058227539062 879.76611328125 698.2000122070312 929.663818359375],0.6009383201599121,GX15OGJ,0.31291387854293223
102,1.0,[1028.8850973739452 549.9065672545407 1279.116369715037 770.2249726134025],[1106.1375732421875 683.7239379882812 1206.8773193359375 725.1417846679688],0.45037150382995605,LP05KAQ,0.16508246290267706
103,6.0,[473.3393574166241 712.4730494815021 836.7825205177085 993.9394948253532],[599.2190551757812 883.7503662109375 701.584716796875 933.1824340820312],0.5697019100189209,GX15OGJ,0.2965641282474653
104,6.0,[472.9586482897016 715.4604817235875 836.292727573621 998.1618995069059],[601.3809814453125 889.0372924804688 694.8964233398438 936.3718872070312],0.5584511160850525,GX15OGJ,0.4844595731938738
105,6.0,[472.23476725494015 718.7996342085162 835.8362774640182 1001.9272976545669],[597.8070068359375 892.5748901367188 696.5303344726562 941.2391967773438],0.5956497192382812,GX15OGJ,0.2439042045562084
106,6.0,[472.2620225176844 721.3914470001215 835.9749379744757 1005.0489370066124],[597.09033203125 897.3841552734375 696.10791015625 945.8626098632812],0.575040876865387,GX15OGJ,0.199969338377003
107,6.0,[469.7239351566512 725.2970283504417 835.2432650271521 1009.3843449016576],[593.9620361328125 901.3082885742188 691.5758056640625 948.1058349609375],0.5715158581733704,GX15OGJ,0.3800840916504313
